cited_author,wos-uid
"Ashley, Florence",WOS:000894549100001
"Hsiao, Timothy",WOS:000894549100001
"Williams, Evan G.",WOS:000894549100001
"Hayry, Matti",WOS:000894549100001
"THOMSON, JJ",WOS:000894549100001
"THOMSON, JJ",WOS:000894549100001
"Habershon, S O",WOS:000894549100001
"Nightingale, Florence",WOS:000894549100001
"Nightingale, Florence",WOS:000894549100001
"Foot, F.",WOS:000894549100001
"Galilei, G.",WOS:000894549100001
"Mill, John Stuart",WOS:000894549100001
"Serafini, Frank",WOS:000953864100001
"Niu, Weihua",WOS:000953864100001
"Janks, Hilary",WOS:000953864100001
"Pantaleo, Sylvia",WOS:000953864100001
"Papen, Uta",WOS:000953864100001
"Unsworth, Len",WOS:000953864100001
"Janks, Hilary",WOS:000953864100001
"Pantaleo, Sylvia",WOS:000953864100001
"Kim, So Jung",WOS:000953864100001
"Murris, K.",WOS:000953864100001
"Serafini, Frank",WOS:000953864100001
"Moses, Lindsey",WOS:000953864100001
"Lysaker, Judith",WOS:000953864100001
"Exley, Beryl",WOS:000953864100001
"Pantaleo, Sylvia",WOS:000953864100001
"Wiseman, Angela M.",WOS:000953864100001
"Serafini, Frank",WOS:000953864100001
"Arizpe, Evelyn",WOS:000953864100001
"McLaughlin, M",WOS:000953864100001
"Cazden, C",WOS:000953864100001
"MOEBIUS, W",WOS:000953864100001
"Serafini, F.",WOS:000953864100001
"Rosenblatt, L. M.",WOS:000953864100001
"Pantaleo, S.",WOS:000953864100001
"Luke, A.",WOS:000953864100001
"Turner, J.",WOS:000953864100001
"Ritone, J.",WOS:000953864100001
"Wiesner, D.",WOS:000953864100001
"Enriquez, G.",WOS:000953864100001
"Sipe, Lawrence",WOS:000953864100001
"Pantaleo, S.",WOS:000953864100001
"Anstey, M.",WOS:000953864100001
"Smith, V.",WOS:000953864100001
"Lankshear, C",WOS:000953864100001
"Zapata, A.",WOS:000953864100001
"Kress, G.",WOS:000953864100001
"Browne, A.",WOS:000953864100001
"Luke, A.",WOS:000953864100001
"Thompson, C.",WOS:000953864100001
"Sipe, L.",WOS:000953864100001
"Dolan, A. M.",WOS:000953864100001
"Nodelman, Perry",WOS:000953864100001
"Dolan, A.",WOS:000953864100001
"Luke, A.",WOS:000953864100001
"Jeffers, O.",WOS:000953864100001
"Benjamin, W.",WOS:000953864100001
"Janks, H",WOS:000953864100001
"Chen, S-W.",WOS:000953864100001
"Nikolajeva, Maria",WOS:000953864100001
"McKinlay, M.",WOS:000953864100001
"Freire, Paulo",WOS:000953864100001
"Crawley, SA.",WOS:000953864100001
"Freebody, P.",WOS:000953864100001
"Farrar, J.",WOS:000953864100001
"Axelrod, YD.",WOS:000953864100001
"Goldstone, B.",WOS:000953864100001
"Painter, C.",WOS:000953864100001
"Johnson, K. A.",WOS:000953864100001
"Riddle, S.",WOS:000953864100001
"Liboiron, M",WOS:000948833600001
"Hardy, Emily",WOS:000948833600001
"Anthony, Raymond",WOS:000948833600001
"Steffens, Travis S.",WOS:000948833600001
"Srinivasan, Krithika",WOS:000948833600001
"Estebanez, Jean",WOS:000948833600001
"Sayers, Janet",WOS:000948833600001
"Sellars, Laurie",WOS:000948833600001
"Coghlan, Simon",WOS:000948833600001
"Cole, Lucinda",WOS:000948833600001
"McCubbin, Sandra G.",WOS:000948833600001
"Kamenshchikova, A.",WOS:000948833600001
"Hillier, Sean A.",WOS:000948833600001
"Serafini, Paula",WOS:000948833600001
"Celermajer, Danielle",WOS:000948833600001
"Heidari, Shirin",WOS:000948833600001
"Michalon, Jerome",WOS:000948833600001
"Laine, Nicolas",WOS:000948833600001
"Buyum, Ali Murad",WOS:000948833600001
"Davis, Alicia",WOS:000948833600001
"Celermajer, Danielle",WOS:000948833600001
"Rock, Melanie",WOS:000948833600001
"Degeling, Chris",WOS:000948833600001
"Kirk, Robert G. W.",WOS:000948833600001
"Adelman, Sam",WOS:000948833600001
"Beever, Jonathan",WOS:000948833600001
"Rock, Melanie J.",WOS:000948833600001
"Srinivasan, Krithika",WOS:000948833600001
"Chalmers, Darlene",WOS:000948833600001
"Biddle, Catharine",WOS:000948833600001
"Wolf, Meike",WOS:000948833600001
"Craddock, Susan",WOS:000948833600001
"Rock, Melanie J.",WOS:000948833600001
"Lapinski, Maria Knight",WOS:000948833600001
"Hinchliffe, Steve",WOS:000948833600001
"Hovorka, Alice J.",WOS:000948833600001
"Belcourt, Billy-Ray",WOS:000948833600001
"Collins, Stephanie",WOS:000948833600001
"Moon, Katie",WOS:000948833600001
"Rock, Melanie",WOS:000948833600001
"Watts, Vanessa",WOS:000948833600001
"Hodgson, Kate",WOS:000948833600001
"Curtin, D.",WOS:000948833600001
"Bennett, Joshua",WOS:000948833600001
"Cudworth, E.",WOS:000948833600001
"Emel, J",WOS:000948833600001
"Pettersen, T.",WOS:000948833600001
"Kim, C. J",WOS:000948833600001
"de la Bellacsa, MP",WOS:000948833600001
"Baquero, OS.",WOS:000948833600001
"Plumwood, Val",WOS:000948833600001
"Wadiewl, D",WOS:000948833600001
"Seager, Joni",WOS:000948833600001
"Derrida, Jacques",WOS:000948833600001
"Chang, D.",WOS:000948833600001
"Adams, C.",WOS:000948833600001
"Baquero, OS.",WOS:000948833600001
"Fisher, B.",WOS:000948833600001
"Taylor, Sunaura",WOS:000948833600001
"Agamben, Giorgio",WOS:000948833600001
"Cudworth, Erika",WOS:000948833600001
"Emel, J.",WOS:000948833600001
"Seaborn, Katie",WOS:000943108000001
"Seaborn, Katie",WOS:000943108000001
"Bryant, De'Aira",WOS:000943108000001
"White, Daniel",WOS:000943108000001
